longitude,latitude
-73.640462384,45.5153169432
-73.6465802918,45.514062883
-73.6201180698,45.5199150611
-73.6081748069,45.5179536406
-73.8145026298,45.5032841027
-73.8527505874,45.4947426544
-73.8268109932,45.5080449591
-73.8229949577,45.5099501052
-73.8572718131,45.4859858751
-73.8467913492,45.4956051385
-73.7129226525,45.5274833461
-73.7038384756,45.5347117626
-73.6782984057,45.5335238671
-73.66242941,45.5534570799
-73.66242941,45.5534570799
-73.6621872001,45.5532351423
-73.5502949629,45.6156781876
-73.5683331088,45.5990747198
-73.5524717834,45.5330386295
-73.5743779247,45.4995891477
-73.6148510576,45.5438574895
-73.61723527,45.54043163
-73.6073872374,45.566039665
-73.5962595723,45.4853923098
-73.5989463334,45.4827691558
-73.5589356404,45.6030938142
-73.9216074879,45.405577115
-73.9222509836,45.4053304047
-73.8659420408,45.4253978901
-73.8647473144,45.4248028729
-73.6092760098,45.4690311877
-73.6385715809,45.493137026
-73.6642334552,45.4769982538
-73.6640099323,45.4772611117
-73.808065793,45.4833916486
-73.7547418663,45.4391942241
73.6444293364,45.4829702655
-73.8484169196,45.4498380151
-73.690193535,45.4334041453
-73.6623698084,45.4276926431
-73.6230433679,45.4244512317
-73.5940019167,45.4671628117
-73.5686772367,45.4883394468
-73.8836613289,45.4909423024
-73.8835479625,45.4908905956
-73.8805772307,45.4854390292
-73.8834512236,45.4908055889
-73.8664970316,45.4815341784
-73.5440660152,45.5815135384
-73.5234776118,45.5956244019
-73.5405232571,45.5511753018
-73.5406647674,45.5509557656
-73.4958624448,45.6313090149
-73.499659222,45.6281646067
-73.63794597,45.5936155888
-73.6257503413,45.6053079688
-73.6461230784,45.4530735226
-73.6458391246,45.4531678597
-73.6421418592,45.51342618
-73.8162387443,45.4497862848
-73.5773623039,45.6504978523
-73.4901451005,45.6411085349
-73.5948312519,45.6273597621
-73.5090727358,45.6716982615
-73.5788466981,45.6498606415
-73.4958403474,45.6680207327
-73.5819661992,45.5515818807
-73.5805709584,45.5559477984
-73.5983559161,45.5473914236
-73.5983559161,45.5473914236
-73.5974530157,45.5318658618
-73.9275673108,45.4394108742
-73.9510141588,45.4062792915
-73.6894286205,45.5129953202
-73.5969998104,45.5871127249
-73.5959175224,45.586024321
-73.9586427352,45.4149293032
-73.5761235816,45.4595173215
-73.5771558353,45.4482806867
-73.5469199546,45.4571782406
-73.5524717834,45.5330386295
-73.5824613691,45.5246374941
-73.5755404399,45.539567557
-73.6012563566,45.5216736339
