ID,NO_CIVIQUE,RUE,ESSENCE_FR,ESSENCE_LATIN,DHP,ETAT,PROPRIETE,Latitude,Longitude,Coord_X,Coord_Y,DATE_PLANTATION,DATE_RELEVE
3528,280,NOTRE-DAME,Peuplier delto�de,Populus deltoides,32,Entier,Terrain municipal,45.72587,-73.45703,308177.0842,5065115.7275,,2017-06-21 13:00:16
3312,396,NOTRE-DAME,Saule � feuilles de p�cher,Salix amygdaloides,41,Entier,Terrain municipal,45.73692,-73.44586,309046.0536,5066343.6944,,2017-06-21 13:00:16
3307,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,44,Entier,Terrain municipal,45.73718,-73.44618,309021.1262,5066373.2425,,2017-06-21 13:00:16
3299,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,55,Entier,Terrain municipal,45.73713,-73.44599,309035.306,5066367.8226,,2017-06-21 13:00:16
3290,396,NOTRE-DAME,Lilas japonais,Syringa reticulata,11,Entier,Terrain municipal,45.73689,-73.44624,309016.2252,5066340.2336,,2017-06-21 13:00:16
3277,396,NOTRE-DAME,�rable � Gigu�re,Acer negundo,26,Entier,Terrain municipal,45.73708,-73.44622,309017.7656,5066362.0646,,2017-06-21 13:00:16
3274,396,NOTRE-DAME,Saule � feuilles de p�cher,Salix amygdaloides,38,Entier,Terrain municipal,45.73691,-73.44563,309063.3275,5066342.9157,,2017-06-21 13:00:16
3271,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,27,Entier,Terrain municipal,45.7371,-73.44603,309032.4475,5066363.6117,,2017-06-21 13:00:16
3261,396,NOTRE-DAME,Peuplier � grandes dents,Populus grandidentata,32,Entier,Terrain municipal,45.73651,-73.44717,308944.09,5066298.4091,,2017-06-21 13:00:16
3254,396,NOTRE-DAME,Saule � feuilles de p�cher,Salix amygdaloides,27,Entier,Terrain municipal,45.73698,-73.44588,309044.4143,5066351.1122,,2017-06-21 13:00:16
3253,396,NOTRE-DAME,Saule � feuilles de p�cher,Salix amygdaloides,25,Entier,Terrain municipal,45.73699,-73.44599,309035.4084,5066352.2289,,2017-06-21 13:00:16
3155,396,NOTRE-DAME,�rable � Gigu�re,Acer negundo,14,Entier,Terrain municipal,45.73715,-73.4464,309003.8624,5066369.0521,,2017-06-21 13:00:16
3154,396,NOTRE-DAME,Peuplier � grandes dents,Populus grandidentata,32,Entier,Terrain municipal,45.7366,-73.4472,308941.3954,5066308.6956,,2017-06-21 13:00:16
3141,396,NOTRE-DAME,�rable rouge,Acer rubrum,19,Entier,Terrain municipal,45.73642,-73.44734,308930.4839,5066288.6451,,2017-06-21 13:00:16
3136,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,47,Entier,Terrain municipal,45.73713,-73.44611,309026.5973,5066367.2284,,2017-06-21 13:00:16
2442,396,NOTRE-DAME,Saule � feuilles de p�cher,Salix amygdaloides,23,Entier,Terrain municipal,45.73714,-73.44599,309035.6031,5066368.3144,,2017-06-21 13:00:16
2428,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,22,Entier,Terrain municipal,45.73689,-73.44578,309052.0472,5066340.4363,,2017-06-21 13:00:16
1445,396,NOTRE-DAME,Saule � feuilles de p�cher,Salix amygdaloides,27,Entier,Terrain municipal,45.73717,-73.44644,309000.8912,5066372.0643,,2017-06-21 13:00:16
1443,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,38,Entier,Terrain municipal,45.73646,-73.44725,308937.7582,5066293.2249,,2017-06-21 13:00:23
1437,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,30,Entier,Terrain municipal,45.73718,-73.44631,309010.8704,5066373.4167,,2017-06-21 13:00:23
1415,396,NOTRE-DAME,�rable � Gigu�re,Acer negundo,12,Entier,Terrain municipal,45.73695,-73.4459,309042.7443,5066347.5877,,2017-06-21 13:00:23
1404,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,62,Entier,Terrain municipal,45.73704,-73.44604,309031.9045,5066356.9009,,2017-06-21 13:00:23
1348,396,NOTRE-DAME,Saule � feuilles de p�cher,Salix amygdaloides,15,Entier,Terrain municipal,45.73478,-73.44744,308923.0559,5066105.8238,,2017-06-21 13:00:23
