ID,MUNICIPALI,TYPE,PARTICULE,NOM,MISEAJOUR,LONGITUDE,LATITUDE
1203,,Parc, ,Jean-Claude-Crevier,20170731,-73.47868975482194,45.76178821728701
1204,,Parc, ,Laverdière,20170731,-73.47813246988433,45.7554657904299
1205,,Parc, ,Thifault,20170731,-73.45071501645681,45.7397947504933
1207,,Parc, ,Saint-Laurent,20170731,-73.45654720483067,45.727095358174715
1208,,Parc, ,Rivest,20170731,-73.43781287136272,45.75799007784897
1210,,Parc,du,Moulin,20170731,-73.41807346436724,45.774342525055665
1211,,Parc, ,Champigny,20170731,-73.47532173130804,45.727402763072504
1213,,Parc, ,Louis-Fréchette,20170731,-73.42496834296428,45.76483763815594
1214,,Parc, ,Catherine-Bousquet,20170731,-73.42056410888699,45.78846017186517
1215,,Parc,des,Moissons,20170731,-73.4295267303394,45.77330272339364
1217,,Parc, ,Entramis,20170731,-73.46104552979878,45.75474248404815
1218,,Parc, ,Claudel,20170731,-73.44296830852885,45.77389614623213
1219,,Parc,de la,Paix,20170731,-73.44614925349359,45.76266830408961
1220,,Parc,de la,Seigneurie,20170731,-73.4602959879167,45.76792356846344
1222,,Parc, ,Pie-XII,20170731,-73.45724524471125,45.73240915300931
1223,,Parc, ,Lachapelle,20170731,-73.42802774340021,45.76172861393248
1224,,Parc,des,Artisans,20170731,-73.46549211455061,45.76202224443696
1225,,Parc, ,Desrosiers,20170731,-73.51378819290223,45.75608752332615
1226,,Parc, ,Montcalm,20170731,-73.4434655873211,45.74887359665136
1227,,Parc, ,Amédée-Meunier,20170731,-73.47249226718864,45.729927975841136
1228,,Parc, ,Langelier,20170731,-73.44989878187789,45.74566681765237
1229,,Parc, ,Laforest,20170731,-73.47244464931408,45.72285116391548
1230,,Parc, ,Chamberland,20170731,-73.46354760773353,45.76606920693041
1231,,Parc, ,Jean-Duceppe,20170731,-73.45829294761742,45.77051402836166
1232,,Parc, ,Sanguinet,20170731,-73.43086533015543,45.76700893772099
1233,,Parc, ,Lajoie,20170731,-73.45871826594365,45.73838223973434
1234,,Parc, ,Simard,20170731,-73.47838700053686,45.72646602962146
1235,,Parc, ,Delacroix,20170731,-73.44823967769136,45.77150107231627
1236,,Halte, ,Outaragasipi,20170731,-73.45284262561043,45.76779918460462
1237,,Parc, ,Deschamps,20170731,-73.46624754381637,45.726898081505304
1238,,Parc,de la,Coopérative,20170731,-73.47567174058855,45.71786346247451
1239,,Parc,des,Érables,20170731,-73.47499190885463,45.71652644676232
1240,,Parc, ,Juneau,20170731,-73.4390311039973,45.7484086310616
1241,,Parc, ,Lucien-Gauthier,20170731,-73.47861190656684,45.74590000810703
1242,,Parc,de la,Grande-Paix,20170731,-73.43710848228001,45.7828447118605
1243,,Parc,,Germaine-Yale,20191216,-73.46456208835495,45.743343905584084
1244,,Parc, ,Le Gardeur,20170731,-73.47800497537442,45.71506197735815
1245,,Parc, ,Colbert,20170731,-73.4675261463701,45.77439337839809
1246,,Parc,du,Grand-Manitou,20170731,-73.44168982195643,45.783669237004915
1247,,Parc, ,Nicolas-Cusson,20170731,-73.44772668878036,45.77669653425331
1248,,Parc, ,Charles-De Gaulle,20170731,-73.44771262553604,45.738289389632435
1249,,Parc, ,Notre-Dame-des-Sables,20170731,-73.40918332472364,45.77541973964277
1250,,Parc, ,Jean-Baptiste-Meilleur,20170731,-73.43597350639244,45.76117206580137
1251,,Parc,de l',Île-Lebel,20170731,-73.44498473621853,45.736215530344765
1254,,Enclos, ,Lefebvre,20170731,-73.47409866168749,45.7567719108007
1221,,Parc, ,Marie-Soleil-Tougas,20170731,-73.47204951478278,45.76914454192165
1603,,Halte,des,Hôtelleries,20170731,-73.47551216084733,45.74629796844314
1604,,Halte,des,Vents Dominants,20170731,-73.41790645297094,45.7672524507766
1209,,Parc, ,Frédéric-Coiteux,20170731,-73.4375261558736,45.77868601587768
1253,,Parc, ,Maurice-Richard,20170731,-73.40996263926554,45.78928633091758
2404,,Parc,des ,Premières-Nations,20170731,-73.43075969772401,45.78475553117535
1212,,Parc,de la,Tourterelle,20170731,-73.41626996348546,45.78162894539763
1206,,Parc, ,Larochelle,20171123,-73.46785433510595,45.740784363896495
2807,,Parc,,Agathe-De St-Père,20200211,-73.47043598555318,45.75032959826759
3207,,Place,de,Bergerac,20200211,-73.4457113086618,45.740050342963926
1255,,Halte,de la,Bergerie,20200211,-73.44949299755712,45.77028197309159
1216,,Parc, ,Rochefort,20200211,-73.40418757406236,45.77900575677908
